,BibNumber,Category Group,checkout_date,checkout_month
1563881,2685732,Fiction,2016-04-27,4
5478428,3168598,Fiction,2016-05-31,5
5135787,2509761,Fiction,2016-01-21,1
2127964,2670744,Fiction,2016-02-03,2
6154341,3065541,Fiction,2016-03-20,3
2553079,2684751,Nonfiction,2016-06-30,6
2706229,2721532,Nonfiction,2016-07-23,7
4550929,2906134,Fiction,2016-03-12,3
2581429,2846178,Nonfiction,2016-11-16,11
2332789,2922791,Nonfiction,2016-05-08,5
6322923,2112099,Nonfiction,2016-03-07,3
5020642,3171723,Fiction,2016-08-18,8
3651299,3148778,Fiction,2016-07-18,7
1441425,2830414,Nonfiction,2016-11-14,11
5204973,2935529,Fiction,2016-09-13,9
5115657,2919257,Fiction,2016-10-06,10
4391975,3063221,Fiction,2016-05-16,5
3262166,2157128,Fiction,2016-07-26,7
1364785,2111064,Nonfiction,2016-08-30,8
6128496,2129948,Fiction,2016-07-20,7
5087745,2233479,Nonfiction,2016-03-31,3
5883436,2434532,Nonfiction,2016-04-17,4
5698711,3171539,Nonfiction,2016-09-27,9
5514281,2923106,Fiction,2016-08-19,8
4442001,2709435,Fiction,2016-11-13,11
5011488,3149036,Fiction,2016-08-30,8
2440237,3044120,Nonfiction,2016-01-16,1
2424888,2556179,Nonfiction,2016-10-26,10
4715783,3036914,Nonfiction,2016-11-26,11
5275185,3037221,Fiction,2016-07-29,7
2129886,2856517,Fiction,2016-07-14,7
3560927,3136901,Fiction,2016-03-24,3
1526868,2795505,Nonfiction,2016-08-07,8
3605220,2847816,Fiction,2016-01-06,1
5855254,3154153,Fiction,2016-09-08,9
4468362,3115940,Fiction,2016-03-18,3
5116524,2690808,Fiction,2016-01-09,1
1543655,3109920,Fiction,2016-11-14,11
5636576,3043019,Nonfiction,2016-08-04,8
4361132,2286710,Fiction,2016-07-05,7
5290311,3077317,Fiction,2016-02-17,2
4352471,3077211,Fiction,2016-01-21,1
4417310,2591972,Fiction,2016-04-15,4
1246047,1882233,Nonfiction,2016-08-21,8
4714156,2107818,Nonfiction,2016-10-10,10
4307818,3118980,Nonfiction,2016-07-13,7
3513445,3102895,Fiction,2016-10-07,10
5137551,2537833,Fiction,2016-12-23,12
6227880,2926717,Fiction,2016-04-09,4
1565846,2489711,Fiction,2016-01-07,1
4507629,2909926,Fiction,2016-01-08,1
5133865,2930134,Fiction,2016-12-08,12
2365047,2945153,Nonfiction,2016-11-19,11
2316834,3171926,Nonfiction,2016-10-05,10
5822327,2292949,Fiction,2016-12-17,12
4759466,3027681,Nonfiction,2016-06-09,6
4789402,3102496,Nonfiction,2016-08-27,8
5894476,3002405,Fiction,2016-07-25,7
3200768,3205023,Fiction,2016-10-16,10
1552603,3068805,Fiction,2016-03-10,3
1443494,1961762,Nonfiction,2016-06-29,6
5609724,2859233,Fiction,2016-01-30,1
3805490,3155254,Fiction,2016-09-06,9
1510954,2599424,Nonfiction,2016-11-04,11
5905678,3117740,Fiction,2016-01-31,1
3668581,2905961,Fiction,2016-10-19,10
3271772,2285721,Fiction,2016-06-18,6
2510521,1923072,Nonfiction,2016-07-22,7
2265166,3111361,Nonfiction,2016-01-07,1
2184408,2658048,Fiction,2016-09-15,9
2455184,2686670,Nonfiction,2016-03-08,3
1528850,2612748,Nonfiction,2016-10-11,10
3750961,2739847,Fiction,2016-08-20,8
2201686,2756474,Language,2016-11-09,11
5289145,1976367,Fiction,2016-08-30,8
4802895,3138619,Nonfiction,2016-02-13,2
5227145,2697406,Fiction,2016-04-09,4
1213342,2881007,Nonfiction,2016-02-13,2
4445787,2906155,Fiction,2016-08-29,8
3622574,3067730,Fiction,2016-07-23,7
1399626,2573577,Nonfiction,2016-02-16,2
3848809,3125967,Fiction,2016-02-04,2
6151916,3035174,Fiction,2016-02-16,2
2693785,3195707,Nonfiction,2016-10-18,10
5246765,3030466,Fiction,2016-11-21,11
5750410,3060708,Fiction,2016-01-06,1
5121398,2281890,Fiction,2016-02-03,2
2685894,2739492,Nonfiction,2016-08-05,8
1566458,2846025,Fiction,2016-11-01,11
3224527,2490970,Fiction,2016-04-24,4
5922466,2922598,Fiction,2016-01-30,1
3830906,3139181,Fiction,2016-03-29,3
3622610,2991418,Fiction,2016-06-29,6
5090374,3153639,Nonfiction,2016-06-13,6
5868514,3035654,Fiction,2016-11-05,11
5552681,3164982,Fiction,2016-11-13,11
2547654,3002293,Nonfiction,2016-01-04,1
2715875,3062148,Nonfiction,2016-07-28,7
5565765,3106998,Fiction,2016-01-28,1
4248704,3141429,Fiction,2016-02-26,2
2553940,2731675,Nonfiction,2016-02-27,2
1460737,1740729,Nonfiction,2016-06-09,6
2730715,3078458,Nonfiction,2016-04-27,4
1107274,3206583,Fiction,2016-11-28,11
6260573,3122965,Language,2016-07-16,7
3285231,2196838,Fiction,2016-04-26,4
6158432,2755492,Fiction,2016-01-16,1
6211785,1651093,Language,2016-11-29,11
2391301,3102584,Nonfiction,2016-02-04,2
4727661,3104895,Nonfiction,2016-11-19,11
6121291,1809320,Fiction,2016-08-23,8
5384879,3162253,Fiction,2016-11-02,11
3514108,3098846,Fiction,2016-07-19,7
5114239,394161,Fiction,2016-04-28,4
5038737,3139892,Fiction,2016-08-18,8
3765904,2973107,Fiction,2016-09-08,9
3718205,3146291,Fiction,2016-06-01,6
1316514,2472753,Nonfiction,2016-12-19,12
5287209,3202701,Fiction,2016-11-29,11
2370044,2858027,Nonfiction,2016-03-31,3
5822872,1757255,Fiction,2016-12-22,12
3155687,3177398,Fiction,2016-06-25,6
4714535,3078311,Nonfiction,2016-11-28,11
